iter	Passed	Remaining
408	5002	7228
409	5014	7215
410	5026	7203
411	5035	7187
412	5047	7173
413	5059	7160
414	5068	7145
415	5080	7132
416	5095	7124
417	5108	7112
418	5119	7098
419	5131	7086
420	5145	7076
421	5166	7076
422	5180	7066
423	5198	7061
424	5217	7059
425	5233	7052
426	5248	7043
427	5263	7033
428	5275	7022
429	5285	7006
430	5297	6993
431	5309	6981
432	5319	6965
433	5330	6952
434	5343	6939
435	5352	6923
436	5364	6911
437	5377	6900
438	5388	6886
439	5401	6874
440	5414	6862
441	5428	6853
442	5439	6839
443	5449	6824
444	5462	6813
445	5476	6802
446	5486	6787
447	5497	6774
448	5509	6761
449	5519	6745
450	5531	6732
451	5545	6722
452	5557	6710
453	5566	6694
454	5582	6686
455	5599	6679
456	5615	6672
457	5633	6666
458	5645	6653
459	5658	6642
460	5758	6733
461	5784	6735
462	5809	6737
463	5829	6733
464	5841	6720
465	5851	6705
466	5862	6691
467	5875	6679
468	5885	6663
469	5898	6651
470	5910	6638
471	5922	6625
472	5931	6609
473	5943	6595
474	5954	6581
475	5965	6567
476	5977	6554
477	5990	6541
478	6000	6526
479	6012	6513
480	6026	6502
481	6037	6488
482	6046	6472
483	6058	6458
484	6068	6443
485	6079	6429
486	6092	6417
487	6103	6403
488	6114	6389
489	6126	6376
490	6138	6363
491	6148	6348
492	6159	6334
493	6173	6323
494	6182	6307
495	6194	6294
496	6207	6282
497	6217	6267
498	6228	6253
499	6240	6240
500	6252	6227
501	6262	6212
502	6276	6201
503	6289	6189
504	6300	6175
505	6314	6164
506	6328	6153
507	6342	6142
508	6356	6131
509	6366	6116
510	6378	6104
511	6392	6092
512	6404	6079
513	6413	6064
514	6426	6052
515	6439	6040
516	6448	6024
517	6460	6011
518	6475	6001
519	6488	5989
520	6510	5986
521	6526	5976
522	6541	5966
523	6559	5958
524	6580	5954
525	6607	5954
526	6624	5945
527	6639	5935
528	6652	5923
529	6662	5908
530	6675	5896
531	6687	5883
532	6697	5868
533	6710	5855
534	6721	5842
535	6731	5827
536	6743	5814
537	6755	5801
538	6769	5789
539	6779	5774
540	6790	5760
541	6802	5748
542	6812	5733
543	6825	5721
544	6837	5708
545	6846	5693
546	6860	5681
547	6873	5669
548	6884	5655
549	6894	5641
550	6907	5629
551	6923	5619
552	6937	5607
553	6947	5593
554	6960	5581
555	6973	5568
556	6986	5556
557	6996	5541
558	7009	5529
559	7023	5518
560	7036	5506
561	7047	5492
562	7059	5479
563	7072	5467
564	7085	5455
565	7095	5440
566	7107	5428
567	7121	5416
568	7133	5403
569	7143	5389
570	7154	5375
571	7166	5362
572	7176	5347
573	7187	5334
574	7198	5320
575	7208	5306
576	7222	5294
577	7234	5281
578	7244	5267
579	7255	5254
580	7267	5240
581	7277	5226
582	7288	5213
583	7300	5200
584	7310	5186
585	7322	5173
586	7335	5160
587	7348	5149
588	7359	5135
589	7375	5125
590	7389	5113
591	7403	5102
592	7416	5090
593	7426	5076
594	7440	5064
595	7454	5053
596	7467	5041
597	7478	5027
598	7493	5016
599	7506	5004
600	7518	4991
601	7531	4979
602	7542	4965
603	7554	4952
604	7566	4939
605	7575	4925
606	7592	4915
607	7605	4903
608	7618	4891
609	7631	4878
610	7647	4868
611	7665	4860
612	7684	4851
613	7693	4836
614	7705	4823
615	7717	4811
616	7727	4796
617	7739	4784
618	7752	4771
619	7764	4759
620	7773	4744
621	7785	4731
622	7797	4718
623	7807	4704
624	7818	4691
625	7831	4679
626	7841	4664
627	7854	4652
628	7867	4640
629	7880	4628
630	7890	4614
631	7901	4601
632	7913	4588
633	7923	4574
634	7935	4561
635	7947	4548
636	7958	4534
637	7970	4522
638	8031	4537
639	8055	4531
640	8070	4519
641	8082	4507
642	8093	4493
643	8105	4480
644	8117	4467
645	8126	4453
646	8139	4440
647	8150	4427
648	8159	4413
649	8171	4400
650	8184	4387
651	8193	4373
652	8205	4360
653	8216	4347
654	8226	4332
655	8241	4321
656	8252	4308
657	8264	4295
658	8274	4281
659	8286	4268
660	8299	4256
661	8308	4242
662	8320	4229
663	8331	4216
664	8342	4202
665	8354	4189
666	8368	4177
667	8381	4165
668	8394	4153
669	8412	4143
670	8424	4130
671	8437	4118
672	8449	4105
673	8458	4091
674	8471	4078
675	8483	4066
676	8493	4052
677	8503	4038
678	8515	4025
679	8525	4012
680	8538	3999
681	8549	3986
682	8562	3974
683	8572	3960
684	8583	3947
685	8596	3934
686	8605	3920
687	8617	3907
688	8627	3894
689	8639	3881
690	8654	3869
691	8665	3857
692	8675	3843
693	8686	3830
694	8700	3818
695	8712	3805
696	8721	3791
697	8733	3778
698	8746	3766
699	8756	3752
700	8768	3739
701	8781	3727
702	8796	3716
703	8807	3702
704	8820	3690
705	8834	3679
706	8848	3667
707	8861	3654
708	8871	3641
709	8883	3628
710	8895	3615
711	8904	3601
712	8916	3589
713	8928	3576
714	8938	3562
715	8949	3549
716	8962	3537
717	8972	3524
718	8984	3511
719	8997	3499
720	9010	3486
721	9020	3473
722	9033	3460
723	9046	3448
724	9060	3436
725	9070	3423
726	9083	3410
727	9095	3398
728	9104	3384
729	9116	3371
730	9128	3359
731	9138	3345
732	9150	3333
733	9164	3321
734	9176	3308
735	9186	3295
736	9201	3283
737	9214	3271
738	9227	3259
739	9237	3245
740	9251	3233
741	9265	3221
742	9277	3209
743	9287	3195
744	9301	3183
745	9313	3170
746	9324	3157
747	9335	3145
748	9346	3132
749	9359	3119
750	9369	3106
751	9382	3094
752	9393	3081
753	9404	3068
754	9415	3055
755	9427	3042
756	9436	3029
757	9463	3021
758	9476	3008
759	9485	2995
760	9497	2982
761	9509	2970
762	9519	2956
763	9531	2944
764	9544	2931
765	9555	2919
766	9564	2905
767	9576	2892
768	9585	2879
769	9600	2867
770	9612	2855
771	9624	2842
772	9643	2831
773	9659	2820
774	9678	2809
775	9693	2798
776	9706	2785
777	9717	2772
778	9729	2760
779	9743	2748
780	9752	2734
781	9763	2721
782	9775	2709
783	9785	2695
784	9796	2683
785	9809	2670
786	9820	2657
787	9830	2644
788	9843	2632
789	9853	2619
790	9863	2606
791	9875	2593
792	9884	2580
793	9898	2568
794	9912	2556
795	9925	2543
796	9937	2531
797	9947	2518
798	9960	2505
799	9972	2493
800	9982	2480
801	9994	2467
802	10006	2454
803	10016	2441
804	10029	2429
805	10040	2416
806	10056	2405
807	10065	2391
808	10077	2379
809	10089	2366
810	10099	2353
811	10114	2341
812	10128	2329
813	10139	2316
814	10149	2303
815	10161	2291
816	10173	2278
817	10185	2266
818	10196	2253
819	10208	2240
820	10220	2228
821	10230	2215
822	10241	2202
823	10253	2190
824	10263	2177
825	10274	2164
826	10286	2151
827	10296	2138
828	10308	2126
829	10322	2114
830	10335	2101
831	10346	2089
832	10358	2076
833	10369	2063
834	10379	2051
835	10391	2038
836	10402	2025
837	10412	2012
838	10424	2000
839	10436	1987
840	10446	1975
841	10459	1962
842	10471	1950
843	10484	1937
844	10494	1925
845	10509	1913
846	10523	1900
847	10538	1888
848	10580	1881
849	10596	1870
850	10610	1857
851	10621	1845
852	10632	1832
853	10643	1819
854	10654	1806
855	10664	1793
856	10676	1781
857	10685	1768
858	10696	1755
859	10708	1743
860	10718	1730
861	10734	1718
862	10746	1705
863	10758	1693
864	10771	1681
865	10781	1668
866	10794	1655
867	10807	1643
868	10821	1631
869	10831	1618
870	10845	1606
871	10858	1593
872	10871	1581
873	10884	1569
874	10897	1556
875	10912	1544
876	10930	1532
877	10944	1520
878	10958	1508
879	10975	1496
880	10988	1484
881	11001	1471
882	11013	1459
883	11029	1447
884	11043	1435
885	11056	1422
886	11067	1409
887	11080	1397
888	11092	1385
889	11105	1372
890	11115	1359
891	11128	1347
892	11140	1334
893	11153	1322
894	11164	1309
895	11179	1297
896	11191	1285
897	11204	1272
898	11214	1259
899	11226	1247
900	11239	1235
901	11252	1222
902	11264	1209
903	11277	1197
904	11290	1185
905	11305	1172
906	11321	1160
907	11334	1148
908	11346	1135
909	11362	1123
910	11376	1111
911	11390	1099
912	11408	1087
913	11423	1074
914	11442	1062
915	11456	1050
916	11472	1038
917	11482	1025
918	11493	1013
919	11505	1000
920	11514	987
921	11527	975
922	11539	962
923	11548	949
924	11559	937
925	11571	924
926	11580	911
927	11592	899
928	11607	887
929	11620	874
930	11631	862
931	11641	849
932	11654	836
933	11664	824
934	11678	811
935	11690	799
936	11703	786
937	11713	774
938	11726	761
939	11738	749
940	11749	736
941	11760	724
942	11772	711
943	11784	699
944	11793	686
945	11804	673
946	11817	661
947	11830	648
948	11843	636
949	11857	624
950	11873	611
951	11886	599
952	11900	586
953	11910	574
954	11922	561
955	11935	549
956	11944	536
957	11957	524
958	11970	511
959	11981	499
960	11992	486
961	12004	474
962	12016	461
963	12026	449
964	12040	436
965	12053	424
966	12065	411
967	12076	399
968	12087	386
969	12100	374
970	12109	361
971	12121	349
972	12134	336
973	12143	324
974	12156	311
975	12169	299
976	12183	286
977	12193	274
978	12205	261
979	12217	249
980	12226	236
981	12238	224
982	12250	211
983	12259	199
984	12273	186
985	12284	174
986	12297	161
987	12307	149
988	12319	137
989	12333	124
990	12342	112
991	12355	99
992	12367	87
993	12378	74
994	12388	62
995	12399	49
996	12409	37
997	12420	24
998	12431	12
999	12441	0
