iter	Logloss
0	0.6657841093
1	0.6408221104
2	0.6171305668
3	0.5951076464
4	0.5750384888
5	0.5564941529
6	0.540723677
7	0.5237517959
8	0.5103364276
9	0.4977310814
10	0.4865467899
11	0.4763440892
12	0.4662615674
13	0.4579355227
14	0.4512298816
15	0.4431685601
16	0.4358559114
17	0.429727844
18	0.423463858
19	0.4175355136
20	0.4126596149
21	0.4087725908
22	0.4050047037
23	0.4008092163
24	0.3975947248
25	0.3945840569
26	0.391741737
27	0.3891118428
28	0.386013992
29	0.382917796
30	0.3807422345
31	0.3788667634
32	0.376171092
33	0.3736042536
34	0.3719551454
35	0.3697286895
36	0.3681872438
37	0.366598469
38	0.3645160865
39	0.362407549
40	0.3609611594
41	0.3596349342
42	0.3579537251
43	0.3568730891
44	0.355726094
45	0.3542775828
46	0.3531197437
47	0.3520007974
48	0.3511644193
49	0.35035453
50	0.3493228605
51	0.3487113545
52	0.3475072312
53	0.3465590933
54	0.3452912664
55	0.3442655162
56	0.3434343639
57	0.3426340455
58	0.3419118919
59	0.3409507177
60	0.3403166437
61	0.3395812895
62	0.3388228442
63	0.3381300319
64	0.3374727728
65	0.3369393544
66	0.3362486773
67	0.3353541523
68	0.3345941118
69	0.3341757297
70	0.3336152145
71	0.3329458305
72	0.332352784
73	0.3317436984
74	0.3312353516
75	0.3307521166
76	0.3302196484
77	0.3296343335
78	0.3292847048
79	0.3284698868
80	0.3279531888
81	0.3274819691
82	0.326923388
83	0.3263957432
84	0.3257131205
85	0.3253789857
86	0.3250117083
87	0.3244396107
88	0.3239696896
89	0.3235060082
90	0.3231384853
91	0.322681811
92	0.3222008077
93	0.3213045127
94	0.3209852257
95	0.3204771593
96	0.3199190026
97	0.3194309381
98	0.3190186657
99	0.3185379553
100	0.3181758246
101	0.317870411
102	0.3175147208
103	0.3170008219
104	0.3165266506
105	0.3160528132
106	0.3157576058
107	0.3152959674
108	0.3148296989
109	0.3143498463
110	0.3140457955
111	0.3136696622
112	0.3133045942
113	0.3128702477
114	0.3125395645
115	0.3120760176
116	0.3115387896
117	0.3111405904
118	0.3108852678
119	0.3105036417
120	0.3101598292
121	0.3097138702
122	0.3094598283
123	0.3091815108
124	0.3088220776
125	0.308426731
126	0.308183348
127	0.3079013183
128	0.3076398159
129	0.3071373948
130	0.3067470442
131	0.3063430611
132	0.3059879083
133	0.3056790454
134	0.3052832557
135	0.3050202303
136	0.3047263129
137	0.3044344254
138	0.3040857883
139	0.3038629177
140	0.3035970502
141	0.3033514044
142	0.3031058665
143	0.3027543041
144	0.3025666015
145	0.3023354633
146	0.3019043111
147	0.3014586455
148	0.3009286175
149	0.3006550882
150	0.3004381082
151	0.3002415591
152	0.3000219852
153	0.2996893321
154	0.2994487606
155	0.2991748842
156	0.2989268008
157	0.2987151255
158	0.2984196005
159	0.2981376429
160	0.2979268958
161	0.2977344477
162	0.2975082834
163	0.2972486275
164	0.297054813
165	0.2966650925
166	0.2963976057
167	0.2961436475
168	0.2959037624
169	0.2956886713
170	0.2954768021
171	0.2951832281
172	0.2949789754
173	0.2946511291
174	0.294417919
175	0.2941751508
176	0.2938639879
177	0.2935682888
178	0.2934443571
179	0.293122378
180	0.2929284356
181	0.2926187618
182	0.2923219589
183	0.2920525572
184	0.2917400287
185	0.2913829265
186	0.2912492936
187	0.2909406057
188	0.290695315
189	0.2904598172
190	0.290261821
191	0.2900715793
192	0.2899065286
193	0.2896935967
194	0.2893338192
195	0.2890814049
196	0.2887722426
197	0.2885462965
198	0.2883805624
199	0.2881079309
200	0.2879386358
201	0.2876726981
202	0.2874608483
203	0.2871975564
204	0.2869990407
205	0.2867028823
206	0.2865751499
207	0.2863846544
208	0.2861703195
209	0.28602793
210	0.2858033403
211	0.2855627664
212	0.2852700336
213	0.285055293
214	0.2849507578
215	0.2847559233
216	0.2845564859
217	0.2841988872
218	0.284068203
219	0.2838307094
220	0.2835150242
221	0.2832205872
222	0.2830183775
223	0.2827068586
224	0.2825236386
225	0.28233702
226	0.2821585468
227	0.2819679283
228	0.2817712066
229	0.2816199747
230	0.2813187341
231	0.2811532117
232	0.2809476691
233	0.2807729767
234	0.2805779369
235	0.2803979798
236	0.2802699431
237	0.2801116365
238	0.2799893346
239	0.2798171855
240	0.2796331236
241	0.279416301
242	0.2793275595
243	0.2790752209
244	0.2787579228
245	0.2785307539
246	0.2783345086
247	0.2781313019
248	0.2780531149
249	0.2779257184
250	0.2776431318
251	0.2774150146
252	0.2771407927
253	0.2768850057
254	0.2767600435
255	0.2764292294
256	0.2762513027
257	0.2759481114
258	0.2757533434
259	0.2756157331
260	0.2753528063
261	0.2750506546
262	0.2749041507
263	0.2746568105
264	0.2744255881
265	0.2741982904
266	0.2740117066
267	0.2739050941
268	0.2737554045
269	0.2735112529
270	0.2734185625
271	0.2732459658
272	0.2731685085
273	0.272890042
274	0.2726836735
275	0.2725078966
276	0.2723201086
277	0.2721198327
278	0.2719442649
279	0.2716822285
280	0.2715363229
281	0.2713754419
282	0.2712328803
283	0.271010831
284	0.2707741977
285	0.2704551433
286	0.2702144589
287	0.2700059722
288	0.2698390093
289	0.2696414196
290	0.2693864096
291	0.26921268
292	0.2690176224
293	0.2688873561
294	0.2687212627
295	0.2685447234
296	0.2684198895
297	0.2682851451
298	0.2681983484
299	0.2680188065
300	0.2676495222
301	0.2674704477
302	0.2672456956
303	0.2671047649
304	0.2669562874
305	0.2667084872
306	0.2665405379
307	0.2664433509
308	0.2662795145
309	0.266083381
310	0.2658358859
311	0.2655556495
312	0.2653429593
313	0.2651540822
314	0.2649800736
315	0.2646759363
316	0.2644688113
317	0.26421923
318	0.2640338484
319	0.2637858372
320	0.2636406404
321	0.2634014795
322	0.2630662095
323	0.2629270469
324	0.2628038209
325	0.2625290145
326	0.2621517341
327	0.2619824209
328	0.2616837007
329	0.2614409566
330	0.2612769168
331	0.2610659528
332	0.2608910365
333	0.2607206449
334	0.2605479108
335	0.2603695088
336	0.2602264892
337	0.2600407017
338	0.2597692506
339	0.2594961141
340	0.259257915
341	0.2590664146
342	0.2587116014
343	0.2583072104
344	0.2580785607
345	0.2578217289
346	0.2575874997
347	0.257350251
348	0.2570899262
349	0.2568655882
350	0.2567479505
351	0.2564706009
352	0.25627485
353	0.2560168773
354	0.2558758033
355	0.2556867693
356	0.2554765052
357	0.2553096164
358	0.2550288991
359	0.2548193683
360	0.2546666585
361	0.2545128608
362	0.2543098255
363	0.2541187769
364	0.2538031949
365	0.2535935482
366	0.2533551225
367	0.2530978915
368	0.2529039402
369	0.2526499534
370	0.2523967993
371	0.2522511409
372	0.2521292391
373	0.2518781343
374	0.2516987579
375	0.2514319936
376	0.2513098283
377	0.2511054602
378	0.2508234679
379	0.2504187498
380	0.2502431813
381	0.2500330753
382	0.2499063512
383	0.2497768923
384	0.2495641342
385	0.249395357
386	0.2492188824
387	0.2489782452
388	0.2488155077
389	0.2484929274
390	0.2482602158
391	0.2480718045
392	0.2477388766
393	0.2475027804
394	0.2473428951
395	0.2471161697
396	0.2468986534
397	0.2467319938
398	0.2465729787
399	0.2463868908
400	0.2462611291
401	0.2461468007
402	0.2459306602
403	0.245718817
404	0.2455587283
405	0.2454013688
406	0.2452443263
407	0.2451301066
408	0.2448241146
409	0.244546848
410	0.2444550203
411	0.2442755595
412	0.2440990323
413	0.2439293226
414	0.2437295934
415	0.2435100004
416	0.243204609
417	0.2430158284
418	0.2426934494
419	0.2425085862
420	0.2422606325
421	0.2420072025
422	0.2418432578
423	0.2416680261
424	0.2415326544
425	0.2413719035
426	0.2412403139
427	0.2410567594
428	0.2409213158
429	0.2407445049
430	0.2405913685
431	0.2403919741
432	0.2402569896
433	0.2401102186
434	0.2398303338
435	0.2396546415
436	0.2394801927
437	0.239268287
438	0.2390604235
439	0.2389739193
440	0.2387185242
441	0.2385200099
442	0.2384478715
443	0.2383022361
444	0.2381605949
445	0.2379653741
446	0.2378289301
447	0.2376906314
448	0.2374966993
449	0.2373423689
450	0.2371868315
451	0.2369723866
452	0.2367659785
453	0.2366349502
454	0.2362795392
455	0.2360258631
456	0.2357744937
457	0.2354517314
458	0.2352345845
459	0.2351447273
460	0.2348999377
461	0.2348093717
462	0.2347052305
463	0.2345141128
464	0.2343311195
465	0.2341008632
466	0.2340232358
467	0.2339260113
468	0.2337660525
469	0.2335930606
470	0.233530027
471	0.2334083874
472	0.2332317043
473	0.2330172651
474	0.2328455987
475	0.2327135163
476	0.2325808297
477	0.2324624168
478	0.2323933985
479	0.2323082973
480	0.2320406816
481	0.2319389866
482	0.2318169228
483	0.2316168191
484	0.2315021775
485	0.2313674703
486	0.2312598273
487	0.2311056547
488	0.2309678197
489	0.2308988048
490	0.2307071454
491	0.2306041918
492	0.2304477893
493	0.2302928384
494	0.2301973677
495	0.230102334
496	0.2299723523
497	0.229873375
498	0.2297888665
499	0.2296634421
500	0.2295374466
501	0.2294427515
502	0.2293551657
503	0.2292407617
504	0.2290818102
505	0.2290137452
506	0.2289399491
507	0.2288810609
508	0.2288030417
509	0.2286795868
510	0.2285350895
511	0.2283996616
512	0.2282543877
513	0.2281840713
514	0.2280985717
515	0.2279369364
516	0.2278228657
517	0.2276971282
518	0.2275690913
519	0.2274723624
520	0.2272739313
521	0.2271083701
522	0.2269667714
523	0.2268429315
524	0.2266921739
525	0.2265805565
526	0.2263556731
527	0.2261969311
528	0.226030777
529	0.2258676738
530	0.2256643273
531	0.2255157574
532	0.2253989398
533	0.2252340402
534	0.2250777939
535	0.2249248432
536	0.2247738628
537	0.2244925326
538	0.2243454265
539	0.2241920467
540	0.2241250154
541	0.2239526319
542	0.2237018046
543	0.2235136221
544	0.223412848
545	0.223346741
546	0.2232765867
547	0.2230891821
548	0.2229629056
549	0.2228226317
550	0.2225398638
551	0.2224087962
552	0.2222615415
553	0.2220915091
554	0.2219352281
555	0.2218338154
556	0.2217658586
557	0.2216576753
558	0.2215408521
559	0.2213657505
560	0.2212597833
561	0.2212017446
562	0.2211248642
563	0.2209557084
564	0.2207862819
565	0.2207270089
566	0.2206103345
567	0.2205026759
568	0.2204021554
569	0.2202749305
570	0.2202149411
571	0.2200895431
572	0.2199790311
573	0.2199076204
574	0.2198148751
575	0.2196727091
576	0.2196120504
577	0.2195495895
578	0.2194759839
579	0.2194196603
580	0.2193737137
581	0.2192947559
582	0.2191834148
583	0.2191160244
584	0.2189446548
585	0.2188811361
586	0.218748843
587	0.2186781013
588	0.2185523745
589	0.2184479591
590	0.2184006611
591	0.218256467
592	0.2181381106
593	0.2180369948
594	0.2179240164
595	0.2177639542
596	0.2176444894
597	0.2174401688
598	0.2173208458
599	0.2172294322
600	0.217177647
601	0.2170344776
602	0.2169496247
603	0.2168504295
604	0.2167686048
605	0.2166967581
606	0.2165186137
607	0.2164324824
608	0.2163270278
609	0.2162686983
610	0.2161515776
611	0.2159432701
612	0.2158438383
613	0.2156955627
614	0.2155434841
615	0.2154105703
616	0.2152593306
617	0.2151181429
618	0.214982783
619	0.2147960536
620	0.2147370288
621	0.2146086104
622	0.2145641439
623	0.2143389127
624	0.2142207681
625	0.2141092727
626	0.2139767643
627	0.2138971883
628	0.2138009019
629	0.2136651233
630	0.213559595
631	0.2133510646
632	0.2132024753
633	0.2130755286
634	0.2129817922
635	0.2128680595
636	0.2127636691
637	0.2125625882
638	0.2124995449
639	0.2123714257
640	0.2122453568
641	0.2121513257
642	0.2120807281
643	0.2119429279
644	0.2118100555
645	0.2117472318
646	0.2116475297
647	0.2116049734
648	0.2115009557
649	0.2114036451
650	0.2112823505
651	0.2111737451
652	0.2109974265
653	0.210951033
654	0.2108498948
655	0.2107365997
656	0.2106112077
657	0.2104823233
658	0.2103603336
659	0.2102077038
660	0.2101115351
661	0.2099771122
662	0.2098460159
663	0.2097054336
664	0.209503546
665	0.2094005226
666	0.2092736498
667	0.2092262154
668	0.2090407997
669	0.2089286372
670	0.2088009543
671	0.2087157363
672	0.2086511719
673	0.2085407438
674	0.2084321639
675	0.2082852775
676	0.2081517602
677	0.2081068522
678	0.2080054131
679	0.2078717298
680	0.2077701727
681	0.2077047743
682	0.2075960177
683	0.2075086521
684	0.2074224626
685	0.2072787889
686	0.2071319173
687	0.2070566665
688	0.20701075
689	0.2068750802
690	0.2067680062
691	0.2066593448
692	0.2065060073
693	0.2063636202
694	0.2062288311
695	0.2061245586
696	0.2060530317
697	0.2059970996
698	0.2059446279
699	0.2057929816
700	0.2057204051
701	0.2056314789
702	0.2055324858
703	0.2053848833
704	0.2052843698
705	0.2051640657
706	0.2050687729
707	0.2049937351
708	0.2049114622
709	0.2048106326
710	0.2047279351
711	0.2046858157
712	0.2045990216
713	0.2045554461
714	0.2043919186
715	0.2043378012
716	0.2042548487
717	0.2041477258
718	0.2039848257
719	0.2038809649
720	0.203767139
721	0.2036417683
722	0.2034433158
723	0.2033362379
724	0.2032381126
725	0.2031726823
726	0.2030530033
727	0.2029347235
728	0.2028475382
729	0.2027697615
730	0.2027270444
731	0.2026296479
732	0.2025020187
733	0.2024253117
734	0.2023562866
735	0.2022923063
736	0.2022238794
737	0.2021589605
738	0.2020316077
739	0.2019908609
740	0.2019329598
741	0.2018715744
742	0.2017920819
743	0.2016952991
744	0.2016347291
745	0.2015438588
746	0.2015049742
747	0.2013940699
748	0.2013529325
749	0.2012393901
750	0.2011652065
751	0.2010296911
752	0.2009283276
753	0.2007875676
754	0.2007206953
755	0.2006254554
756	0.2005632522
757	0.2004892928
758	0.2003380024
759	0.2002858851
760	0.2001758583
761	0.2000794125
762	0.1999844475
763	0.1998754123
764	0.1998168108
765	0.1997015522
766	0.1996537986
767	0.1995649559
768	0.1995032683
769	0.1994079933
770	0.1993227177
771	0.1992360589
772	0.1991652944
773	0.1990572795
774	0.1988713937
775	0.1987747097
776	0.1986836909
777	0.1986206077
778	0.1985595436
779	0.1984463817
780	0.1983993094
781	0.198348992
782	0.1982090206
783	0.1980874337
784	0.1980245736
785	0.1979096462
786	0.197777721
787	0.1977065441
788	0.1975341302
789	0.1974396646
790	0.1973638054
791	0.1972025946
792	0.1970179075
793	0.1969715088
794	0.1968483489
795	0.1967760847
796	0.196649441
797	0.1965388942
798	0.196445118
799	0.196367624
800	0.1962046375
801	0.1961442154
802	0.1960625715
803	0.1959922132
804	0.1958908972
805	0.1958235197
806	0.1957110208
807	0.1956405569
808	0.1954212404
809	0.195306653
810	0.1952268167
811	0.1951010308
812	0.1950343706
813	0.1948277402
814	0.1947086511
815	0.1946236314
816	0.1945208195
817	0.1944463081
818	0.1943401031
819	0.1942171131
820	0.1941334548
821	0.1940078398
822	0.1939366457
823	0.1938800575
824	0.1937730506
825	0.1936958741
826	0.1935565028
827	0.1934406326
828	0.1933576806
829	0.1932572243
830	0.1932069939
831	0.1931414369
832	0.193078924
833	0.1930365294
834	0.1929128073
835	0.1928126694
836	0.1926611965
837	0.1925205935
838	0.1924472554
839	0.1923287801
840	0.1922065975
841	0.1920917081
842	0.1920383981
843	0.1919384378
844	0.1917948316
845	0.1916952042
846	0.1916035299
847	0.1914835868
848	0.191355427
849	0.1912378082
850	0.1911785383
851	0.1910289264
852	0.1909738729
853	0.1909171899
854	0.1908229612
855	0.190723871
856	0.190610752
857	0.1905346827
858	0.1904480131
859	0.1903762603
860	0.1903078385
861	0.1902417161
862	0.1901982651
863	0.1901212927
864	0.1900611811
865	0.1899977698
866	0.1899381299
867	0.1898718583
868	0.1897431982
869	0.1895685507
870	0.1895013642
871	0.1894650207
872	0.1893695127
873	0.1892360569
874	0.1891548425
875	0.1890691588
876	0.1889929227
877	0.1889065321
878	0.1888645419
879	0.1887834945
880	0.1887443756
881	0.1886350848
882	0.1884942912
883	0.1883925671
884	0.1882742529
885	0.1881878538
886	0.1881407884
887	0.1879711171
888	0.1879392143
889	0.1878193057
890	0.1876883478
891	0.1876075089
892	0.187506138
893	0.1874568516
894	0.1873877418
895	0.1872643469
896	0.1871940484
897	0.1871209728
898	0.187073702
899	0.1870252965
900	0.1869205696
901	0.1868619562
902	0.1868123348
903	0.1867448024
904	0.1866257661
905	0.1865223862
906	0.1864013108
907	0.1863322469
908	0.1862186433
909	0.1861397441
910	0.1860428067
911	0.1859906619
912	0.1859551941
913	0.1859210079
914	0.1858527566
915	0.1857780023
916	0.1857374528
917	0.1856609168
918	0.1855807524
919	0.1855159779
920	0.1854481871
921	0.1853786162
922	0.1852929177
923	0.1852318909
924	0.185142024
925	0.1850914471
926	0.1849960428
927	0.1849070745
928	0.1848658351
929	0.1847944986
930	0.1847326256
931	0.184673364
932	0.1846074181
933	0.1844829469
934	0.1844070997
935	0.1842646792
936	0.1842036553
937	0.184046286
938	0.1839795171
939	0.183892626
940	0.1837759693
941	0.1837189712
942	0.1836893271
943	0.1835765298
944	0.1834913456
945	0.1834355061
946	0.1833860007
947	0.1833151749
948	0.1832450056
949	0.1832002142
950	0.1831514979
951	0.1831072617
952	0.183043934
953	0.1829706291
954	0.18288484
955	0.1828205578
956	0.1827469868
957	0.1826587965
958	0.1825365264
959	0.1824779248
960	0.1824218986
961	0.1823545713
962	0.1823010771
963	0.182206536
964	0.1821295066
965	0.1820519408
966	0.181972738
967	0.1818544697
968	0.1818153264
969	0.1817240517
970	0.181673848
971	0.1815501534
972	0.1814885191
973	0.1813997083
974	0.1812877859
975	0.1812428111
976	0.1812083934
977	0.1810697829
978	0.1809952959
979	0.1808998187
980	0.1808313701
981	0.1807550086
982	0.1807164024
983	0.1806727008
984	0.1805659167
985	0.1804821744
986	0.1804336517
987	0.1803062925
988	0.1802682878
989	0.1801992233
990	0.1800819408
991	0.179956361
992	0.1798827904
993	0.1798108216
994	0.179759803
995	0.1796558973
996	0.1795846776
997	0.1795334896
998	0.1794921059
999	0.1794259566
